County,Location Name,Address,Notes,Hours,Latitude,Longitude
Appling,Elections Office ,"83 South Oak Street Baxley, GA 31513 ",,On curb outside office so driver doesn't have to get out of car 24/7,31.7761805,-82.3452206
Appling,Courthouse Annex,"69 Tippins Street Baxley, GA 31513 ",,"Outside, 24/7",31.7778415,-82.3502327
Atkinson,Elections Office ,"636 Austin Avenue E Pearson, GA 31602 ",,Note: This Dropbox may not be open 24/7,31.2926525,-82.8425087
Bacon,Elections Office ,"232 W 12th Street Alma, GA 31510 ",Note: This Dropbox may not be open 24/7,"M-F 9-5, Ballots & Applications both accepted - separate box for applications on top of ballot dropbox",31.5413592,-82.464885
Baker,Elections Office ,"167 Baker Place Newton, GA 39870 ",,24/7 outside the courthouse,31.317666,-84.3412951
Baldwin,Elections Office ,"1601 N. Columbia, Suite 110 Milledgeville, GA 31061 ",,"Installed outside the new office, 24/7",33.098832,-83.243047
Baldwin,Courthouse,"121 N Wilkinson St, Suite 102 Milledgeville, GA 31061 ",,,33.0815124,-83.2286005
Banks,Banks Elections office dropoff,"226 Candler Street Homer, GA 30547 ",,"24/7, Candler runs off the main road through Homer, go up the hill and will see the office",34.335437,-83.4974345
Barrow,"Elections Office, Administration Annex","233 E. Broad St Winder, GA 30680 ",,"24/7, outside the office. Ballots and applications may also be dropped off at this location inside the office, M-F, 8-5.",33.9977319,-83.7093691
Bartow,Elections Office ,"1300 Joe Frank Harris Pkwy Cartersville, GA 30120 ",,"24/7; Ballots and applications may also be dropped off at this location inside the office, M-F, 8-5",34.2062407,-84.8141196
Bartow,Bartow County Courthouse,"135 W Cherokee Ave Cartersville, GA 30120 ",,24/7,34.1658417,-84.7997289
Bartow,Allatoona Resource Center,"6503 Glade Rd SE Acworth, GA 30102 ",,24/7,34.1137254,-84.681162
Bartow,Euharlee City Hall,"30 Burge's Mill Rd Euharlee, GA 30145 ",,24/7,34.1471996,-84.9369558
Bartow,Manning Hill Gym,"163 Manning Mill Road Adairsville, GA 30103 ",,24/7,34.3457503,-84.9003887
Ben Hill,,"115 W Pine St Fitzgerald, GA 31750 ",Note: This Dropbox may not be open 24/7,Can drop off in the Elections office. ,31.7137885,-83.2552529
Berrien,Elections Office ,"201 N Davis St, Room 142 Nashville, GA 31639 ",Note: This Dropbox may not be open 24/7,M-F 8-4:30 Can call ahead and someone will come pick up from them or can leave with security officer who will all for someone to come pick up the ballot,31.2084994,-83.2494298
Bibb,Elections Office ,"2525 Pio Nono Avenue, Suite 1200 Macon, GA 31206 ",Note: This Dropbox may not be open 24/7,Inside the office there is a separate box for applications and one for ballots; M-F 8:30-5:30,32.8114278,-83.6659271
Bibb,Elections Office ,"2525 Pio Nono Avenue, Suite 1200 Macon, GA 31206 ",,"Outside, 24/7, ballots only",32.8114278,-83.6659271
Bibb,Courthouse Annex,"639 Mulberry Street Macon, GA 31201 ",,24/7. Does accept applications,32.8386535,-83.6283497
Bleckley,County Court House,"112 N Second St Cochran, GA 31014 ",Note: This Dropbox may not be open 24/7,In parking lot near police department - 24/7,32.3875693,-83.355355
Brantley,Elections Office ,"10305 N Main St Ste 400 Nahunta, GA 31553 ",Note: This Dropbox may not be open 24/7,"Drop box is on the door to office. Big orange sign that says ""dropbox."" Built into the door. Drop the ballot through the slot and it goes into the locked box. Available 24/7.",31.2094192,-81.9799613
Brooks,Elections Office ,"610 S. Highland Rd. Quitman, GA 31643 ",,24/7,30.7798113,-83.5521956
Bryan,Pembroke County Courthouse,"151 S. College St. Pembroke, GA 31321 ",,24/7,32.1334622,-81.6214468
Bryan,Richmond Hill Center at Bryan County Administration Office,"66 Matthew Freeman Dr. Richmond Hill, GA 31324 ",,,31.8811648,-81.2598689
Bulloch,Elections Office (1),"113 North Main Street, Suite 201 Statesboro, GA 30458 ",Note: This Dropbox may not be open 24/7,"Located in lobby of annex building. These are boxes that they have bolted to a table in the back of the annex building. Available during hours building is open, M-F, 8-5",32.4519474,-81.7835295
Bulloch,Elections Office (2),"113 North Main Street, Suite 201 Statesboro, GA 30458 ",,"Located in parking lot of office, 24/7",32.4519474,-81.7835295
Burke,Elections Office ,"602 North Liberty Street, Room 104 Waynesboro, GA 30830 ",Note: This Dropbox may not be open 24/7,"M-F 9-5 and early voting day Oct 24, 9 - 4",33.090532,-82.01549
Butts,Elections Office ,"625 West Third Street Jackson, GA 30233 ",,"Outside, just in front of building. 24/7",33.293442,-83.9730207
Calhoun,,"31 Court Street, Suite A Morgan, GA 39866 ",,Located on south side of courthouse wall.,31.5376621,-84.5996693
Camden,,"200 E 4th St Woodbine, GA 31569 ",Note: This Dropbox may not be open 24/7,M-F 8-5,30.9683435,-81.7207486
Camden,,"107 Gross Rd Kingsland, GA 31548 ",Note: This Dropbox may not be open 24/7,"M-F 9-5, closed 12:30-1:30",30.7890356,-81.644302
Candler,Elections Office ,"1075 E Hiawatha Street, Ste A Metter, GA 30439 ",Note: This Dropbox may not be open 24/7,"M-F, 9-5",32.3914167,-82.0380196
Carroll,Elections Office ,"423 College Street, Room 302 Carrollton, GA 30117 ",,Back of the building,33.5841753,-85.0718445
Carroll,,"42 Community Square Blvd  Villa Rica, GA 30180 ",,"Located in the drive through lane of the Customer Service Building behind City Hall, 24/7",33.7323513,-84.9327098
Catoosa,,"5238 Evitt Street Ringgold, GA 30736 ",,"Located outside the office, 24/7",34.9160681,-85.1065128
Charlton,Elections Office ,"1520 Third Street, Suite C Folkston, GA 31537 ",Note: This Dropbox may not be open 24/7,"M-F, 9-5",30.831928,-82.004905
Chatham,Elections Office ,"1117 Eisenhower Drive, Ste E Savannah, GA 31406 ",,,32.0053913,-81.0998617
Chatham,W.W. Law Center,"900 E. Bolton St. Savannah, GA 31401 ",,,32.0622015,-81.0823214
Chatham,Savannah State T.A. Wright Stadium,"4437 Skidaway Road Savannah, GA 31404 ",,"N Tompkins Dr., off LaRoche, next to Wright Stadium",32.0287808,-81.0704767
Chatham,Whitemarsh Island Chatham Police Precinct,"54 Johnny Mercer Blvd. Savannah, GA 31410 ",,,32.0355215,-81.0075238
Chatham,Liberty City Community Center,"1401 Mills B Lane Blvd. Savannah, GA 31405 ",,,32.0507701,-81.1285493
Chatham,Southwest Chatham Library,"14097 Abercorn St. Savannah, GA 31419 ",,,31.9857137,-81.1758708
Chatham,UGA Extension,"17 Minus Ave. Savannah, GA 31408 ",,,32.102055,-81.150223
Chatham,Civic Center,"301 W. Oglethorpe Ave. Savannah, GA 31401 ",,Montgomery Street side,32.0765792,-81.0970224
Chatham,Carver Heights Community Center,"905 Collat Ave. Savannah, GA 31415 ",,,32.0726772,-81.126682
Chatham,Pooler City Hall ,"100 Hwy 80 SW Pooler, GA 31322 ",,,32.1156821,-81.2502054
Chattahoochee,,"215 McNaughton St Cusseta, GA 31805 ",,,32.3080016,-84.7641763
Chattooga,Registrar's Office ,"10017 Commerce St. Summerville, GA 30747 ",Note: This Dropbox may not be open 24/7,Applications and Ballots accepted. Hours are 8:30 to 5 now during early voting,34.4801287,-85.3484133
Cherokee,County Tax Assessors Office,"2780 Marietta Hwy Canton, GA 30114 ",,"Dropbox located outside and behind the Tax Assessor’s building, 24/7; Ballots and Applications accepted inside office, 8:30-5; Office hours during the week before Nov 3 will be M-F 8-7. October 24: 9-4",34.2100621,-84.5052589
Cherokee,Cherokee County South Annex Complex,"7545 Main St Building 200 Woodstock, GA 30188 ",,"Located B/T Rec Center and Police Dept, 24/7",34.1146191,-84.5120599
Cherokee,Old Board of Elections Office,"400 East Main Street Canton, GA 30114 ",,,34.2365748,-84.4872694
Clarke,Board of Elections Office,"155 East Washington Street Athens, GA 30601 ",Note: This Dropbox may not be open 24/7,"Dropbox outside available 24/7, may drop off applications and ballots inside M-F, 8-5",33.9594279,-83.3767269
Clarke,Athens-Clarke County Library,"2025 Baxter Street Athens, GA 30603 ",,24/7,33.9449534,-83.4035579
Clarke,Athens-Clarke County Multimodal Transportation Center,"775 E. Broad St. Athens, GA 30605 ",,24/7,33.9588796,-83.3704339
Clarke,Fire Station #7,"2350 Barnett Shoals Rd Athens, GA 30605 ",,24/7,33.9176772,-83.3442845
Clarke,ACC Extension,"275 Cleveland Road Bogart, GA 30622 ",,24/7,33.9452336,-83.4738057
Clarke,City Hall,"125 S. Church Street Winterville, GA 30683 ",,"Front of building, 24/7",33.9672311,-83.279135
Clay,The Courthouse (Office of Election Superindendent),"210 S. Washington St. Suite 4 Fort Gaines, GA 39851 ",Note: This Dropbox may not be open 24/7,"Drop box on front porch, 24/7 May also walk in or mail apps and ballots, 8-4:30",31.605324,-85.0488835
Clay,Registrar's Office,"103 W. Commerce St. Fort Gaines, GA 39851 ",Note: This Dropbox may not be open 24/7,May walk in apps and ballots. 8-4:30,31.6065511,-85.0493671
Clay,,"210 South Washington Street, Suite 1 Fort Gaines, GA 39851 ",,"24/7, Drop box on front porch of courthouse.",31.605324,-85.0488835
Clayton,Clayton County Board of Elections & Registration,"121 S. McDonough Street, Annex II Jonesboro, GA 30236 ",,Side of Courthouse near Handicap Parking,33.5207838,-84.3524761
Clayton,Carl Rhodenizer Recreation Center,"3499 Rex Road Rex, GA 30273 ",,,33.5872197,-84.2769284
Clayton,Virginia Burton Gray Recreation Center,"1475 East Fayetteville Road Riverdale, GA 30274 ",,,33.5912927,-84.4372056
Clayton,Frank Bailey Senior Center,"6213 Riverdale Road Riverdale, GA 30274 ",,,33.5857219,-84.422866
Clayton,J. Charley Griswell Senior Center,"2300 Highway 138 SE Jonesboro, GA 30236 ",,,33.5278632,-84.3134418
Clayton,South Clayton Recreation Center,"1837 McDonough Road Hampton, GA 30228 ",,,33.4476278,-84.3316079
Clayton,Forest Park Branch Library,"4812 West Street Forest Park , GA 30297 ",,,33.623152,-84.3678001
Clayton,Lee Headquarters Library,"865 Battle Creek Road Jonesboro, GA 30236 ",,,33.5532526,-84.3633235
Clinch,Board of Elections office,"25 Court Square, Suite A Homerville, GA 31634 ",Note: This Dropbox may not be open 24/7,"Office open 9-5, applications and ballots may be dropped off inside. Office closed 12-1 for lunch but applications and ballots may be dropped through the slot at the door during open office hours only.  There is a slot where ballots can be dropped off through the door but only during office hours which have not changed.",31.0418771,-82.7514869
Cobb,East Cobb Government Service Center,"4400 Lower Roswell Rd Marietta, GA 30068 ",,,33.9628857,-84.4229117
Cobb,South Cobb Government Service Center,"4700 Austell Rd Austell, GA 30106 ",,,33.8399847,-84.611648
Cobb,North Cobb Regional Library,"3535 Old 41 Hwy NW Kennesaw, GA 30144 ",,,34.0386566,-84.6519363
Cobb,Elections Main Office,"736 Whitlock Avenue Marietta, GA 30064 ",,,33.9536152,-84.5738877
Cobb,West Cobb Regional Library,"1750 Dennis Kemp Ln NW Kennesaw, GA 30152 ",,,33.9989253,-84.7022049
Cobb,Cobb Fire Station 8,"2380 N. Cobb Pkwy Kennesaw, GA 30152 ",,,34.0090186,-84.606399
Cobb,Sewell Mill Library & Cultural Center,"2051 Lower Roswell Rd Marietta, GA 30068 ",,,33.9501596,-84.493007
Cobb,Cobb County Fire Station 4,"1901 Cumberland Pkwy SE Atlanta, GA 30339 ",,,33.8493535,-84.4841135
Cobb,Windy Hill Community Center,"1885 Roswell St SE Smyrna , GA 30080 ",,,33.8945101,-84.5006532
Cobb,Cobb County Fire Station 13,"4640 Dallas Hwy Marietta, GA 30064 ",,,33.945663,-84.6875032
Cobb,Cobb County Animal Services,"1060 Al Bishop Dr., SW Marietta, GA 30008 ",,,33.9040987,-84.5858108
Cobb,Gritters Library,"880 Shaw Park Road Marietta, GA 30066 ",,,34.02516,-84.524238
Cobb,Mountain View Library,"3320 Sandy Plains Road Marietta, GA 30066 ",,,34.0313292,-84.4657452
Cobb,South Cobb Recreation Center,"875 Riverside Pkwy Austell, GA 30168 ",,,33.7784716,-84.5800293
Cobb,South Cobb Regional Library,"805 Clay Street Mableton, GA 30126 ",,,33.8252317,-84.5776557
Cobb,Powder Springs Library,"4181 Atlanta Street Powder Springs, GA 30127 ",,,33.8565634,-84.6761068
Coffee,,"224 West Ashley Street Douglas, GA 31533 ",Note: This Dropbox may not be open 24/7,Dropbox is outside front of building-24/7,31.5077855,-82.8524093
Colquitt,Colquitt County Courthouse Annex,"101 E Central Ave Moultrie, GA 31768 ",,Back of Annex,31.1802509,-83.7872064
Columbia,Elections Office,"500 Faircloth Dr. Bldg E Evans, GA 30809 ",,"May walk ballot inside office during business hours, and until 7pm on Election Day",33.5452083,-82.135705
Cook,Elections Office,"1200 South Hutchinson Avenue Adel, GA 31620 ",,"Blue box close to door, Outside administration bldg 24/7",31.1210889,-83.4167814
Coweta,Coweta County Administration Building,"22 East Broad Street Newnan, GA 30263 ",,"East Broad Street Side, top of the entrance “A” ramp.",33.3745719,-84.7982668
Crawford,,"640 Hwy 128 Roberta, GA 31078 ",,"Old Tech Building, Main door",32.7146375,-84.0211479
Crisp,Elections Office,"210 S 7th St Cordele, GA 31015 ",,"Outside main entrance on the main walkway, not in the basement area with the Elections Office, 24/",31.9672219,-83.7831842
Dade,Dade County Administrative Building,"71 Case Ave Trenton, GA 30752 ",,"Beside door of elections office 24/7, additional drive-thru dropbox in the parking lot 24/7",34.8720856,-85.5107689
Dawson,,"96 Academy Avenue  Dawsonville, GA 30534 ",,"On the right side of building on the curb, 24/7",34.4201781,-84.1230221
DeKalb,Lou Walker Senior Center,"2538 Panola Rd Lithonia, GA 30058 ",,,33.7140828,-84.1640393
DeKalb,Decatur City Hall,"509 N. McDonough St. Decatur, GA 30030 ",,,33.7737234,-84.2962158
DeKalb,Wesley Chapel - Wm. C. Brown Library,"2861 Wesley Chapel Rd. Decatur, GA 30034 ",,,33.7043991,-84.2210458
DeKalb,Clarkston Library,"951 N. Indian Creek Dr. Clarkston, GA 30021 ",,,33.8049361,-84.2387008
DeKalb,Tucker- Reid H. Cofer Library,"5234 LaVista Rd Tucker, GA 30084 ",,,33.8572466,-84.2085288
DeKalb,Toco Hills-Avia G. Williams,"1282 McConnell Dr. Decatur, GA 30033 ",,,33.8093145,-84.3069467
DeKalb,County Library County Line-Ellenwood,"4331 River Rd. Ellenwood, GA 30294 ",,,33.6552256,-84.2342631
DeKalb,City of Tucker,"1975 Lakeside Pkwy, Suite 350 Tucker, GA 30084 ",,,33.8421526,-84.2395382
DeKalb,Sterling at Candler Village,"2536 Mellville Ave Decatur, Ga 30032 ",,,33.7337119,-84.285909
DeKalb,Doraville City Hall,"3725 Park Ave Atlanta, Ga 30340 ",,,33.9009514,-84.2783852
DeKalb,Dunwoody City Hall,"4800 Ashford Dunwoody Rd. Dunwoody, Ga 30338 ",,,33.9367435,-84.3386269
DeKalb,Stone Mtn. City Hall,"875 Main Street Stone Mtn, Ga 30083 ",,,33.8049628,-84.1698496
DeKalb,Stonecrest City Hall,"3120 Stonecrest Blvd. Stonecrest, Ga 30038 ",,,33.6904766,-84.0838805
DeKalb,Exchange Park,"2771 Columbia Dr. Decatur, Ga 30034 ",,,33.7074092,-84.2538903
DeKalb,Brookhaven City Hall,"4362 Peachtree Rd. NE Brookhaven, Ga 30319 ",,,33.8706178,-84.3337677
DeKalb,Voter Registration and Elections Bldg.,"4380 Memorial Dr. Decatur, Ga 30032 ",,,33.7780804,-84.246648
DeKalb,Wade Walker Family YMCA,"5605 Rockbridge Road Stone Mountain, GA 30087 ",,,33.7862908,-84.1657701
DeKalb,Dekalb County Fire Station #25,"7136 Rockbrdige Road Stone Mountain, GA 30087 ",,,33.7860642,-84.1051225
DeKalb,Clarkston City Hall,"3921 Church Street Clarkston, GA 30021 ",,,33.8089202,-84.2393636
DeKalb,Salem - Panola Library,"5137 Salem Road Lithonia, GA 30038 ",,,33.6779641,-84.17809
DeKalb,Dekalb County Library - Gresham Branch,"2418 Gresham Road Atlanta, GA 30316 ",,,33.718128,-84.3097882
DeKalb,Redan-Trotti Library,"1569 Wellborn Road Lithonia, GA 30058 ",,,33.7457471,-84.1422632
DeKalb,Kirkwood Branch Library,"11 Kirkwood Rd NE Atlanta, GA 30317 ",,,33.7514318,-84.3212594
DeKalb,Fire Station 3,"100 clarendon Avenue Avondale Estates, GA 30002 ",,,33.7664314,-84.2664307
DeKalb,Fire Station 8,"2711 Clairmont Road Atlanta, GA 30329 ",,,33.835963,-84.310863
DeKalb,Fire Station 9,"3858 North Druid Hills Road Decatur, GA 30033 ",,,33.8115848,-84.2756327
DeKalb,Fire Station 12,"5323 Roberts Drive Dunwoody, GA 30338 ",,,33.9559766,-84.335626
DeKalb,Fire Station 19,"3253 Mercer university Drive Chamblee, GA 30341 ",,,33.8752491,-84.2562357
DeKalb,Fire Station 6,"2342 Flat Shoals Road Atlanta, GA 30032 ",,,33.7200304,-84.3108295
DeKalb,Fire Station 7,"1776 Derrill Drive Decatur, GA 30032 ",,,33.7391842,-84.2587044
DeKalb,Fire Station 1,"1670 Clifton Road Atlanta, GA 30329 ",,,33.800339,-84.3276944
DeKalb,Fire Station 10 ,"1686 Constitution Road Atlanta, GA 30316 ",,,33.6892303,-84.3212103
Decatur,County Elections Office,"122 W Water St Bainbridge, GA 39817 ",,"Outside the office, 24/7",30.9066897,-84.5771689
Dodge,,"5016 Courthouse Cir Eastman, GA 31023 ",,Outside Registrar's office,32.2009748,-83.1754335
Dooly,,"402 Hawkinsville Hwy Vienna, GA 31092 ",,outside Election office 24/7,32.0959896,-83.7799081
Dooly,,"102 2d St. Vienna, GA 31902 ",,Outside Courthouse 24/7,32.0915577,-83.7954518
Dougherty,Government Center,"222 Pine Ave. Albany, GA 31701 ",,"Dropbox outside 24/7, or may drop off inside the office",31.5778038,-84.1523957
Dougherty,Tallulah Massey Library,"2004 Stratford Dr, Albany, GA 31705 Albany, GA 31705 ",,"Outside, 24/7",31.5706389,-84.1000826
Dougherty,Southside Branch Library,"2114 Habersham Road Albany, GA 31701 ",,"Outside, 24/7",31.5497502,-84.1713798
Dougherty,Northwest Library,"2507 Dawson Road Albany, GA 31707 ",,"Outside, 24/7",31.611336,-84.2109994
Douglas,Dog River Library,"6100 Hwy 5 Douglasville, GA 30135 ",,"Outside but within gate which is open daily ""8 am to dark""",33.6379688,-84.8275846
Douglas,Boundary Water Aquatic Center,"5000 Hwy 92 Douglasville, GA 30135 ",,"Outside but within gate which is open daily ""from 7 am until dark""",33.6708648,-84.6590284
Douglas,Deer Lick Park,"2105 Mack Rd Douglasville, GA 30135 ",,"Outside but within gate which is open daily ""7 am-dark""",33.7492714,-84.6852474
Douglas,Old Courthouse,"6754 W. Church Street Douglasville, GA 30134 ",,"Outside, 24/7",33.749083,-84.750507
Douglas,Douglas County Courthouse,"8700 Hospital Drive Douglasville, GA 30134 ",,"One outside the courthouse 24/7, one inside the building outside of Registrar's office (M-F, 8-5)",33.7433513,-84.7306584
Douglas,Douglas County Government Annex,"6200 Fairburn Road Douglasville, GA 30134 ",,"Outside, 24/7",33.7505236,-84.734794
Douglas,Douglas County Public Library,"6810 Selman Drive Douglasville, GA 30134 ",,"Outside, 24/7",33.7430552,-84.7523666
Douglas,Lithia Springs Public Library,"7100 Turner Drive Lithia Springs, GA 30122 ",,"Outside, 24/7",33.7818367,-84.6589058
Douglas,Hunter Park,"8830 Gurley Road Douglasville, GA 30134 ",,Outside but gated park hours are M-F 8-5,33.7398238,-84.7706408
Douglas,Jesse Davis Park,"7775 Malone Street Douglasville, GA 30134 ",,"Outside but gated park hours are M-Sat. 8-8:30, Sun. 1-8:30",33.7654546,-84.7468179
Early,,"17 McDonald Avenue Blakely, GA 39823 ",,"Outside on west side of building, 24/7",31.3784353,-84.9332588
Echols,,"110 GA-94 Statenville, GA 31648 ",,outside Registrar's office in courthouse building 24/7,30.7030084,-83.0277878
Effingham,,"284 GA Highway 119 S Springfield, GA 31329 ",,"outside in front of building 24/7, and just inside building door 8:30-5",32.3684649,-81.3166038
Elbert,,"45 Forest Avenue Elberton, GA 30635 ",,"on the wall in entryway to building, outside entrance to Registrar's office, 24/7",34.1099645,-82.8687314
Emanuel,Elections Office,"105 South Main St Swainsboro, GA 30401 ",Note: This Dropbox may not be open 24/7,"next to tag office, M-F 8-12, 1-5, but during early voting period (10/12 to 30) office open 8-5",32.5971822,-82.3338182
Evans,Courthouse,"201 Freeman Street, Suite 10 Claxton, GA 30417 ",,"Outside, 24/7",32.1618096,-81.9074901
Fannin,Elections Office,"400 W Main St. Blue Ridge, GA 30513 ",,"Outside, 24/7",34.8644888,-84.3266764
Fayette,Fayette County Administrative Complex near Heritage Park Fountain,"140 Stonewall Ave W, Ste 208 Fayetteville, GA 30214 ",,,33.4470043,-84.4570558
Fayette,Peachtree City Public Library (back of building on ground floor),"201 Willowbend Road Peachtree City, GA 30269 ",,,33.400401,-84.580643
Fayette,Tyrone Police Department,"945 Senoia Road Tyrone, GA 30290 ",,,33.4781168,-84.5944278
Fayette,Brooks Town Hall,"961 Highway 85 Connector Brooks Brooks, GA 30205 ",,,33.2899185,-84.4592086
Floyd,Elections Office,"12 E Fourth Ave, Ste 20 Rome, GA 30161 ",,"Outside, 24/7",34.2538103,-85.171347
Floyd,Sara Hightower Library,"205 Riverside Parkway NE Rome, GA 30161 ",,"Outside, 24/7",34.2580521,-85.1690793
Forsyth,Elections Office,"1201 Sawnee Drive Cumming, GA 30040 ",,,34.2237553,-84.1410259
Franklin,,"7850 Royston Road Carnesville, GA 30521 ",,,34.3670106,-83.2311314
Fulton,Adams Park Library,"2231 Campbellton Road Atlanta, GA 30311 ",,,33.7056988,-84.4616893
Fulton,Adamsville/Collier Heights Library,"3424 Martin Luther King Jr Drive Atlanta, GA 30331 ",,,33.7550563,-84.5001855
Fulton,Alpharetta Branch Library,"10 Park Plaza Alpharetta, GA 30009 ",,,34.0739169,-84.2922893
Fulton,Auburn Avenue Research Library,"101 Auburn Avenue Atlanta, GA 30303 ",,,33.7552257,-84.3838928
Fulton,Buckhead Library,"269 Buckhead Avenue, NE Atlanta, GA 30305 ",,,33.8376168,-84.3793961
Fulton,Cleveland Avenue Library,"47 Cleveland Avenue SW Atlanta, GA 30315 ",,,33.6815073,-84.3905475
Fulton,College Park Branch Library,"3647 Main Street College Park, GA 30337 ",,,33.6556682,-84.4496948
Fulton,Dogwood Library,"1838 Donald Lee Hollowell Parkway Atlanta, GA 30318 ",,,33.7740654,-84.4470085
Fulton,East Point Branch Library,"2757 Main Street East Point, GA 30344 ",,,33.6803507,-84.4406947
Fulton,East Roswell Branch Library,"2301 Holcomb Bridge Road Roswell, GA 30076 ",,,34.0029406,-84.2944889
Fulton,Evelyn G. Lowery @ Cascade,"3665 Cascade Road, SW Atlanta, GA 30331 ",,,33.7246153,-84.506737
Fulton,Fairburn Branch Library,"60 Valley View Drive Fairburn, GA 30213 ",,,33.5668373,-84.584977
Fulton,Fulton County Airport:,"3929 Aviation Circle, Suite A Atlanta, GA 30336 ",,,33.7741869,-84.5174078
Fulton,Fulton County Customer Service Cetner @ Maxwell Road,"11575 Maxwell Road Alpharetta, GA 30009 ",,,34.0631453,-84.3010265
Fulton,Fulton County Government Center (1),"141 Pryor Street, SW Atlanta, GA 30303 ",,,33.751422,-84.3914433
Fulton,Fulton County Government Center (2),"130 Peachtree Street, SW Atlanta, GA 30303 ",,,33.751259,-84.3919022
Fulton,Gladys S. Dennard Library @ South Fulton,"4055 Flat Shoals Road Union City, GA 30291 ",,,33.5878106,-84.5195155
Fulton,Hapeville Senior Center,"527 King Arnold Street Hapeville, GA 30354 ",,,33.6590228,-84.4047089
Fulton,Johns Creek Environmental Campus,"8100 Holcomb Bridge Road Alpharetta, GA 30022 ",,,33.9769675,-84.2668915
Fulton,Louise Watley Library at Southeast Atlanta,"1463 Pryor Road, SW Atlanta, GA 30315 ",,,33.7149301,-84.3940779
Fulton,Mechanicsville Library,"400 Formwalt Street Atlanta, GA 30312 ",,,33.7437344,-84.3948579
Fulton,Metropolitan Branch Library,"1332 Metropolitan Parkway Atlanta, GA 30310 ",,,33.7187799,-84.4073494
Fulton,Milton Branch Library,"855 Mayfield Road Milton, GA 30009 ",,,34.0901142,-84.3362718
Fulton,North Fulton Service Center,"7741 Roswell Road Sandy Springs, GA 30350 ",,,33.965673,-84.3626663
Fulton,North Training Center,"5025 Roswell Road Sandy Springs, GA 30342 ",,,33.892322,-84.380667
Fulton,Northeast /Spruill Oaks Library,"9560 Spruill Road Alpharetta, GA 30022 ",,,34.01417,-84.2242155
Fulton,Northside Library,"3295 Northside Parkway, NW Atlanta, GA 30327 ",,,33.845106,-84.4253497
Fulton,Northwest Branch Library @ Scott’s Crossing,"2489 Perry Boulevard, NW Atlanta, GA 30318 ",,,33.8052817,-84.4699555
Fulton,Palmetto Branch Library,"9111 Cascade Palmetto Highway Palmetto, GA 30268 ",,,33.5305862,-84.6643812
Fulton,Ponce De Leon Library,"980 Ponce De Leon Ave NE Atlanta, GA 30306 ",,,33.7740557,-84.3551871
Fulton,Robert E. Fulton Regional Library @ Ocee,"5090 Abbotts Bridge Road Johns Creek, GA 30005 ",,,34.0646462,-84.2096406
Fulton,Roswell Branch Library,"115 Norcross Street Roswell, GA 30075 ",,,34.0249952,-84.3579018
Fulton,Sandy Springs Branch Library,"395 Mt Vernon Highway, NE Sandy Springs, GA 30328 ",,,33.924002,-84.37442
Fulton,South Fulton Service Center,"5600 Stonewall Tell Road College Park, GA 30349 ",,,33.6014156,-84.5498808
Fulton,Washington Park Library,"1116 Martin Luther King Jr Drive Atlanta, GA 30314 ",,,33.7541519,-84.4237293
Fulton,West End Library,"525 Peeples Street SW Atlanta, GA 30310 ",,,33.7403435,-84.4209185
Fulton,Wolf Creek Branch Library,"3100 Enon Road Atlanta, GA 30331 ",,,33.6725152,-84.5741367
Gilmer,Gilmer County Courthouse,"1 Broad St, Suite 107 Ellijay, GA 30540 ",Note: This Dropbox may not be open 24/7,"Outside, 24/7",34.695096,-84.4833347
Glascock,,"676 West Main Street Gibson, GA 30810 ",,,33.2313399,-82.6069682
Glynn,Board of Elections and Registration Office (outside door),"1815 Gloucester Street Brunswick, GA 31520 ",,,31.1521128,-81.4849575
